Wall time,Step,Value
1542193488.798203,25,0.0
1542193505.8230982,30,0.0
1542193570.137673,50,0.0
1542193586.6245112,55,0.03125
1542193619.7233598,65,0.0
1542193635.5215652,70,0.0625
1542193651.6246238,75,0.0625
1542193683.6863878,85,0.03125
1542193699.5315158,90,0.03125
1542193715.3758578,95,0.0
1542193731.162461,100,0.03125
1542193795.247867,120,0.0
1542193939.3841648,165,0.0
1542193955.8831522,170,0.0625
1542193987.5584576,180,0.0
1542194035.4054363,195,0.0625
1542194051.474932,200,0.0
1542194082.8973541,210,0.03125
1542194114.6220837,220,0.0
1542194130.9174361,225,0.03125
1542194163.310441,235,0.03125
1542194195.3607016,245,0.03125
1542194211.3395283,250,0.0
1542194259.131355,265,0.03125
1542194275.4548194,270,0.0625
1542194291.7238455,275,0.03125
1542194308.0478776,280,0.0
1542194325.6756473,285,0.0
1542194375.1017084,300,0.0625
1542194391.1415958,305,0.0
1542194423.215065,315,0.03125
1542194455.6700482,325,0.0625
1542194471.8004117,330,0.03125
1542194487.7813623,335,0.03125
1542194505.833711,340,0.0
1542194553.9877696,355,0.03125
1542194569.8960454,360,0.09375
1542194585.4271138,365,0.03125
1542194601.293599,370,0.03125
1542194633.1869237,380,0.0
1542194681.047766,395,0.03125
1542194760.6000485,420,0.15625
1542194776.5817308,425,0.09375
1542194792.5302358,430,0.0
1542194808.8552375,435,0.0625
1542194824.9578097,440,0.03125
1542194841.1049917,445,0.09375
1542194921.6031535,470,0.125
1542195050.9319398,510,0.03125
1542195098.775972,525,0.09375
1542195114.3919282,530,0.09375
1542195224.8300238,565,0.15625
1542195272.4532487,580,0.15625
1542195303.9432724,590,0.09375
1542195319.8727705,595,0.28125
1542195335.661779,600,0.0625
1542195399.9957185,620,0.1875
1542195415.7183385,625,0.125
1542195431.74673,630,0.3125
1542195479.6250458,645,0.25
1542195495.149621,650,0.21875
1542195541.927916,665,0.21875
1542195608.9411654,685,0.125
1542195642.2098756,695,0.21875
1542195674.7516437,705,0.09375
1542195691.22645,710,0.1875
1542195707.4820857,715,0.25
1542195723.1028144,720,0.28125
1542195787.7582498,740,0.1875
1542195819.9846914,750,0.1875
1542195867.9284554,765,0.1875
1542195884.5693946,770,0.125
1542195901.4909806,775,0.34375
1542195934.0613415,785,0.40625
1542195950.1577134,790,0.21875
1542195966.653037,795,0.25
1542196014.356075,810,0.3125
1542196049.4592774,820,0.28125
1542196066.8375926,825,0.15625
1542196100.9781857,835,0.375
1542196118.234576,840,0.34375
1542196169.73936,855,0.5
1542196254.2082977,880,0.25
1542196271.5872512,885,0.15625
1542196288.6675684,890,0.375
1542196322.3180957,900,0.15625
1542196373.3997993,915,0.40625
1542196407.5071256,925,0.40625
1542196424.5023203,930,0.5625
1542196458.7010806,940,0.375
1542196492.7580597,950,0.3125
1542196510.115509,955,0.46875
1542196629.6145968,990,0.34375
1542196700.3541493,1010,0.34375
1542196769.289293,1030,0.375
1542196786.566526,1035,0.40625
1542196803.4987988,1040,0.46875
1542196873.3223293,1060,0.40625
1542196925.205749,1075,0.28125
1542196976.737256,1090,0.625
1542196994.2222857,1095,0.4375
1542197045.772919,1110,0.625
1542197062.6286767,1115,0.46875
1542197097.1508179,1125,0.53125
1542197114.409247,1130,0.40625
1542197131.8824892,1135,0.65625
1542197167.441506,1145,0.5
1542197222.4379687,1160,0.53125
1542197241.0456686,1165,0.40625
1542197258.7834256,1170,0.40625
1542197313.027997,1185,0.65625
1542197365.770518,1200,0.5
1542197452.4229941,1225,0.5
1542197487.1484785,1235,0.53125
1542197521.2152343,1245,0.5625
1542197538.5512335,1250,0.40625
1542197624.4239254,1275,0.53125
1542197675.967286,1290,0.5625
1542197693.1982589,1295,0.53125
1542197710.3823133,1300,0.5625
1542197727.244682,1305,0.65625
1542197762.0916817,1315,0.53125
1542197830.4009056,1335,0.53125
1542197868.0841694,1345,0.625
1542197902.2606215,1355,0.5
1542197936.2562232,1365,0.46875
1542198022.4578068,1390,0.65625
1542198056.7386093,1400,0.5625
1542198125.703943,1420,0.5625
1542198212.3424132,1445,0.625
1542198246.9521787,1455,0.6875
1542198263.999937,1460,0.5625
1542198314.1426768,1475,0.5
1542198347.6188009,1485,0.5625
1542198364.5561163,1490,0.6875
1542198381.5137386,1495,0.625
1542198415.1285527,1505,0.53125
1542198432.0284035,1510,0.53125
1542198448.9268613,1515,0.59375
1542198516.0000186,1535,0.65625
1542198532.9777,1540,0.5625
1542198566.198573,1550,0.65625
1542198617.1123157,1565,0.53125
1542198684.2328794,1585,0.59375
1542198700.9011967,1590,0.71875
1542198717.8279908,1595,0.59375
1542198735.0945458,1600,0.78125
1542198768.9277685,1610,0.6875
1542198819.9828591,1625,0.5625
1542198837.2512565,1630,0.75
1542198854.0572329,1635,0.78125
1542198905.597585,1650,0.59375
1542198922.4738882,1655,0.5
1542198956.6760647,1665,0.65625
1542199059.966368,1695,0.78125
1542199093.8123949,1705,0.84375
1542199143.6666307,1720,0.59375
1542199160.8689122,1725,0.78125
1542199195.0593467,1735,0.6875
1542199212.0883107,1740,0.5625
1542199292.1547961,1765,0.6875
1542199308.299712,1770,0.6875
1542199340.0263638,1780,0.8125
1542199372.3662636,1790,0.65625
1542199388.3849106,1795,0.78125
1542199404.1532588,1800,0.78125
1542199452.0124214,1815,0.59375
1542199468.7866826,1820,0.78125
1542199517.9096496,1835,0.875
1542199534.5949013,1840,0.625
1542199566.8412893,1850,0.6875
1542199582.828219,1855,0.625
1542199614.6003897,1865,0.65625
1542199679.8318226,1885,0.59375
1542199696.3035989,1890,0.6875
1542199712.974671,1895,0.78125
1542199745.7582312,1905,0.8125
1542199761.8828576,1910,0.71875
1542199810.5075588,1925,0.875
1542199826.5901392,1930,0.75
1542199843.12279,1935,0.65625
1542199860.487416,1940,0.78125
1542199896.751746,1950,0.71875
1542199914.2511225,1955,0.625
1542199931.7726858,1960,0.75
1542199949.57775,1965,0.8125
1542200099.9355316,2010,0.6875
1542200120.5444877,2015,0.78125
1542200156.3454692,2025,0.78125
1542200210.355215,2040,0.78125
1542200334.1929245,2075,0.75
1542200351.6380587,2080,0.53125
1542200419.1360755,2100,0.65625
1542200436.2433639,2105,0.78125
1542200453.2865295,2110,0.8125
1542200487.4167109,2120,0.75
1542200521.4327922,2130,0.8125
1542200590.0851216,2150,0.78125
1542200741.4069176,2195,0.71875
1542200759.1249104,2200,0.625
1542200776.8207867,2205,0.75
1542200795.1213443,2210,0.59375
1542200830.750045,2220,0.65625
1542200849.0920012,2225,0.71875
1542200899.9306886,2240,0.84375
1542200950.1665883,2255,0.84375
1542201068.7098897,2290,0.71875
1542201085.3971996,2295,0.8125
1542201102.3300664,2300,0.65625
1542201119.1083634,2305,0.875
1542201152.9434154,2315,0.59375
1542201169.6739044,2320,0.875
1542201186.2787302,2325,0.75
1542201220.1398377,2335,0.8125
1542201237.2803812,2340,0.8125
1542201254.3055377,2345,0.8125
1542201290.6966984,2355,0.6875
1542201325.2930794,2365,0.71875
1542201342.3747504,2370,0.6875
1542201410.2699594,2390,0.78125
1542201528.4411108,2425,0.90625
1542201579.1388834,2440,0.8125
1542201596.5273178,2445,0.84375
1542201630.2857025,2455,0.9375
1542201664.210716,2465,0.90625
1542201714.4460206,2480,0.875
1542201899.356029,2535,0.84375
1542201949.1505203,2550,0.75
1542201965.8953888,2555,0.78125
1542201982.7414076,2560,0.65625
1542202017.1477787,2570,0.8125
1542202050.6687765,2580,0.8125
1542202067.3602521,2585,0.875
1542202101.045069,2595,0.75
1542202185.3425884,2620,0.8125
1542202202.0563705,2625,0.90625
1542202303.077719,2655,0.8125
1542202336.8192759,2665,0.84375
1542202353.0971088,2670,0.65625
1542202370.307154,2675,0.84375
1542202387.1279309,2680,0.78125
1542202406.4315486,2685,0.71875
1542202423.2523043,2690,0.71875
1542202439.7225556,2695,0.875
1542202456.57059,2700,0.75
1542202473.3976977,2705,0.78125
1542202490.4337974,2710,0.9375
1542202524.3375175,2720,0.875
1542202574.592295,2735,0.96875
1542202591.8757763,2740,0.84375
1542202608.7920635,2745,0.9375
1542202642.856793,2755,0.8125
1542202711.1785538,2775,0.8125
1542202744.915345,2785,0.9375
1542202778.593006,2795,0.875
1542202846.474594,2815,0.8125
1542202863.9162502,2820,0.8125
1542202881.2036154,2825,0.65625
1542202915.4180663,2835,0.875
1542202949.149346,2845,0.96875
1542202983.1105132,2855,0.78125
1542203017.7531564,2865,0.71875
1542203034.9422147,2870,0.78125
1542203086.9903657,2885,0.8125
1542203121.012663,2895,0.90625
1542203138.2670515,2900,0.84375
1542203155.3365102,2905,0.875
1542203172.3690393,2910,0.84375
1542203189.8386729,2915,0.78125
1542203207.401712,2920,0.78125
1542203241.807852,2930,0.78125
1542203258.8765862,2935,1.0
1542203344.4942224,2960,0.78125
1542203360.9426203,2965,0.90625
1542203393.869447,2975,0.84375
1542203410.034693,2980,0.84375
1542203426.201535,2985,0.8125
1542203476.5079381,3000,0.84375
1542203509.8161361,3010,0.84375
1542203545.5234683,3020,0.8125
1542203578.5457318,3030,0.6875
1542203611.8608127,3040,0.78125
1542203645.1392822,3050,0.875
1542203662.0525315,3055,0.9375
1542203678.3533406,3060,0.84375
1542203728.717997,3075,0.84375
1542203795.9521897,3095,0.78125
1542203812.740669,3100,0.84375
1542203846.539225,3110,0.71875
1542203863.0088093,3115,0.9375
1542203896.5795908,3125,0.875
1542203963.0395017,3145,0.9375
1542204046.829561,3170,0.875
1542204164.2025194,3205,0.90625
1542204180.82634,3210,0.78125
1542204213.9211261,3220,0.8125
1542204231.1125152,3225,0.96875
1542204247.5367749,3230,0.8125
1542204264.4347126,3235,0.90625
1542204280.8117125,3240,0.8125
1542204297.2963674,3245,0.84375
1542204330.7906914,3255,0.875
1542204347.730255,3260,0.8125
1542204414.9279556,3280,0.71875
1542204431.4955974,3285,0.84375
1542204465.4371707,3295,0.78125
1542204498.9888408,3305,0.90625
1542204549.8972163,3320,0.90625
1542204583.6844192,3330,0.9375
1542204600.7151113,3335,0.8125
1542204617.7854412,3340,0.8125
1542204670.7330418,3355,0.84375
1542204687.374325,3360,0.78125
1542204704.9495902,3365,0.8125
1542204721.532764,3370,0.9375
1542204739.2288477,3375,0.84375
1542204775.3244061,3385,0.90625
1542204792.7188635,3390,0.875
1542204810.0145698,3395,0.84375
1542204845.371986,3405,0.8125
1542204863.331146,3410,0.875
1542204880.7319777,3415,0.875
1542204898.2690976,3420,0.84375
1542204915.4773278,3425,0.84375
1542204932.2941244,3430,0.9375
1542204965.7385783,3440,0.90625
1542204982.3019552,3445,0.90625
1542205031.7059245,3460,0.71875
1542205097.0025673,3480,0.78125
1542205146.9451752,3495,0.90625
1542205163.3346922,3500,0.90625
1542205179.7184486,3505,0.78125
1542205212.6847363,3515,0.78125
1542205245.7199442,3525,0.84375
1542205262.4130473,3530,0.875
1542205295.5605686,3540,0.84375
1542205312.1186686,3545,0.78125
1542205328.2830489,3550,0.875
1542205394.497382,3570,0.78125
1542205460.0432734,3590,0.9375
1542205476.6189666,3595,0.8125
1542205509.8979309,3605,0.78125
1542205526.3654735,3610,0.78125
1542205543.1458733,3615,0.8125
1542205559.854981,3620,0.84375
1542205576.5406518,3625,0.8125
1542205593.3285682,3630,0.84375
1542205642.4997728,3645,0.96875
1542205659.2906759,3650,0.90625
1542205759.0584102,3680,0.9375
1542205794.3568425,3690,0.90625
1542205810.937415,3695,0.9375
1542205827.5847597,3700,0.875
1542205844.518887,3705,0.75
1542205877.8511267,3715,0.875
1542205928.0745182,3730,0.9375
1542205944.4852717,3735,0.96875
1542205994.3589182,3750,0.8125
1542206010.5743334,3755,0.78125
1542206027.2626994,3760,0.84375
1542206061.024248,3770,0.90625
1542206094.6870193,3780,0.8125
1542206145.302399,3795,0.78125
1542206162.569605,3800,0.90625
1542206196.1941254,3810,0.84375
1542206246.2658362,3825,0.75
1542206262.419739,3830,0.75
1542206278.9381382,3835,0.8125
1542206311.6037657,3845,0.84375
1542206328.091557,3850,0.90625
1542206345.1457682,3855,0.9375
1542206378.7465448,3865,0.8125
1542206395.1815503,3870,0.875
1542206412.9104223,3875,0.90625
1542206496.1750715,3900,0.90625
1542206562.4692326,3920,0.90625
1542206579.017279,3925,0.78125
1542206612.3802354,3935,0.90625
1542206645.2938757,3945,0.84375
1542206678.6732965,3955,0.875
1542206695.1375093,3960,0.875
1542206711.502479,3965,0.6875
1542206727.9302511,3970,0.90625
1542206744.4091275,3975,0.9375
1542206761.194314,3980,0.84375
1542206793.976009,3990,0.875
1542206827.6415591,4000,0.90625
1542206860.8531156,4010,0.90625
1542206913.3060439,4025,0.90625
1542206947.0074458,4035,0.875
1542206963.4022431,4040,0.84375
1542206979.9092598,4045,0.84375
1542207046.4146426,4065,0.8125
1542207079.5705457,4075,0.78125
1542207095.9097023,4080,0.8125
1542207128.7513394,4090,0.78125
1542207180.6131468,4105,0.75
1542207213.6627352,4115,0.8125
1542207230.5284984,4120,0.9375
1542207247.0843964,4125,0.84375
1542207297.0487542,4140,0.875
1542207346.6213114,4155,0.875
1542207363.12841,4160,0.78125
1542207396.5224693,4170,0.96875
1542207430.5983229,4180,0.84375
1542207464.069801,4190,0.78125
1542207546.6742966,4215,0.84375
1542207580.7814713,4225,0.90625
1542207597.213948,4230,0.9375
1542207614.310507,4235,0.78125
1542207630.8432167,4240,0.84375
1542207681.307754,4255,0.9375
1542207781.6097775,4285,0.78125
1542207814.666932,4295,0.96875
1542207831.226293,4300,0.84375
1542207847.693483,4305,0.875
1542207864.0657742,4310,0.90625
1542207880.582916,4315,0.8125
1542207946.9228208,4335,0.90625
1542207980.3756526,4345,0.8125
1542207996.8553956,4350,0.84375
1542208050.237857,4365,0.84375
1542208067.3794158,4370,0.9375
1542208084.0638955,4375,0.875
1542208100.7991934,4380,0.84375
1542208117.0094998,4385,0.90625
1542208150.9165907,4395,0.90625
1542208167.6109648,4400,0.90625
1542208184.587539,4405,0.78125
1542208201.079593,4410,0.9375
1542208234.4816735,4420,0.875
1542208284.9281943,4435,0.96875
1542208318.6323712,4445,0.84375
1542208335.4281905,4450,0.8125
1542208368.7422602,4460,0.875
1542208385.5395272,4465,0.875
1542208435.8785915,4480,0.78125
1542208485.9558752,4495,0.90625
1542208502.7586508,4500,0.8125
1542208621.0210066,4535,0.8125
1542208637.473187,4540,0.78125
1542208654.0234215,4545,0.90625
1542208670.4735663,4550,0.9375
1542208687.2705014,4555,0.9375
1542208703.7862701,4560,0.84375
1542208720.7210464,4565,0.78125
1542208753.912799,4575,0.90625
1542208770.6369371,4580,0.90625
1542208787.4218168,4585,0.9375
1542208837.8397198,4600,0.96875
1542208854.8036804,4605,0.78125
1542208871.839346,4610,0.875
1542208888.599642,4615,0.78125
1542208922.1799078,4625,0.9375
1542209025.168519,4655,0.90625
1542209041.8073747,4660,0.90625
1542209058.9111023,4665,0.96875
1542209092.5101507,4675,0.875
1542209160.59894,4695,0.875
1542209211.3334975,4710,0.75
1542209263.382002,4725,0.96875
1542209330.5054305,4745,0.84375
1542209380.281372,4760,0.8125
1542209396.7648778,4765,0.84375
1542209413.2965581,4770,0.9375
1542209446.994394,4780,0.9375
1542209463.7776015,4785,0.8125
1542209480.4650543,4790,0.96875
1542209530.9449532,4805,0.84375
1542209547.6673374,4810,0.84375
1542209580.6103747,4820,0.9375
1542209614.820398,4830,0.96875
1542209631.3687694,4835,0.8125
1542209664.1194696,4845,0.9375
1542209696.929322,4855,0.84375
1542209713.9835713,4860,0.78125
1542209746.5211143,4870,0.9375
1542209779.616898,4880,0.84375
1542209796.4674072,4885,0.90625
1542209812.8728337,4890,0.875
1542209829.4536946,4895,0.90625
1542209879.309435,4910,0.8125
1542209895.7225342,4915,0.8125
1542209912.6950278,4920,0.9375
1542209962.1098018,4935,0.875
1542209979.1006315,4940,0.90625
1542210110.6374867,4980,0.9375
1542210160.5619981,4995,0.84375
1542210177.4116516,5000,0.96875
1542210210.8470056,5010,0.84375
1542210244.4920316,5020,0.9375
1542210261.6974285,5025,0.9375
1542210314.956034,5040,0.96875
1542210331.7981663,5045,0.9375
1542210365.2694278,5055,0.90625
1542210382.274425,5060,0.875
1542210398.762133,5065,0.78125
1542210415.7542477,5070,0.875
1542210465.0246844,5085,0.90625
1542210597.3611844,5125,0.875
1542210614.0159361,5130,0.96875
1542210630.5713944,5135,0.875
1542210663.526414,5145,0.90625
1542210696.5802538,5155,0.875
1542210713.4880762,5160,1.0
1542210729.6269302,5165,0.9375
1542210762.7863297,5175,0.9375
1542210796.1724548,5185,0.90625
1542210812.4808,5190,0.90625
1542210829.5935874,5195,0.84375
1542210879.9576132,5210,0.96875
1542210896.602757,5215,0.84375
1542210913.260145,5220,0.875
1542210995.9705005,5245,0.84375
1542211028.8667223,5255,0.875
1542211045.877868,5260,0.8125
1542211095.9882843,5275,0.90625
1542211129.5764635,5285,0.875
1542211230.6033404,5315,0.96875
1542211246.908254,5320,0.875
1542211280.6049232,5330,0.9375
1542211313.1038,5340,0.90625
1542211379.7789497,5360,0.875
1542211415.2698717,5370,0.75
1542211448.7881126,5380,0.9375
1542211482.0172222,5390,0.84375
1542211515.2723265,5400,0.8125
1542211549.1782916,5410,0.875
1542211565.9671557,5415,0.875
1542211582.691031,5420,0.875
1542211599.421162,5425,0.875
1542211616.2401829,5430,0.9375
1542211682.5084536,5450,0.8125
1542211716.16472,5460,0.90625
1542211732.9523547,5465,0.8125
1542211833.7221859,5495,0.875
1542211867.1307662,5505,0.84375
1542211900.1487715,5515,0.875
1542211916.6381533,5520,0.9375
1542211933.3870654,5525,1.0
1542212083.4123895,5570,0.875
1542212116.6824675,5580,0.84375
1542212166.458329,5595,0.90625
1542212217.184434,5610,0.90625
1542212233.789167,5615,0.84375
1542212266.9604194,5625,0.9375
1542212283.4276452,5630,0.9375
1542212300.1059124,5635,0.84375
1542212317.011349,5640,0.84375
1542212350.6026976,5650,1.0
1542212366.8481038,5655,0.875
1542212399.89323,5665,0.875
1542212416.813717,5670,1.0
1542212433.2081852,5675,0.96875
1542212483.4179127,5690,0.9375
1542212500.0687659,5695,0.84375
1542212535.431556,5705,0.9375
1542212668.1309087,5745,0.875
1542212684.9845254,5750,0.875
1542212701.9568121,5755,0.90625
1542212718.8670058,5760,0.9375
1542212768.3818467,5775,0.84375
