Wall time,Step,Value
1547268475.8458552,19,0.03125
1547268478.6755059,39,0.03125
1547268481.2863467,59,0.0625
1547268484.0687437,79,0.0625
1547268486.5576937,99,0.25
1547268489.2017202,119,0.21875
1547268491.8464358,139,0.34375
1547268494.5053887,159,0.21875
1547268497.3660865,179,0.34375
1547268500.0277963,199,0.25
1547268502.7831645,219,0.28125
1547268505.4162827,239,0.53125
1547268507.952171,259,0.5625
1547268510.4465055,279,0.46875
1547268513.2160773,299,0.53125
1547268515.7857451,319,0.4375
1547268518.3383915,339,0.46875
1547268520.8222508,359,0.625
1547268523.3478765,379,0.65625
1547268526.0560017,399,0.53125
1547268528.8022695,419,0.5
1547268531.498762,439,0.75
1547268534.184178,459,0.5
1547268536.71286,479,0.71875
1547268539.4449248,499,0.71875
1547268542.0700169,519,0.53125
1547268544.698159,539,0.78125
1547268547.495799,559,0.75
1547268550.1150022,579,0.75
1547268552.9670374,599,0.53125
1547268555.627265,619,0.8125
1547268558.286107,639,0.625
1547268561.140531,659,0.6875
1547268564.2719512,679,0.6875
1547268566.6769948,699,0.8125
1547268569.4085534,719,0.78125
1547268571.9762826,739,0.75
1547268574.6535542,759,0.75
1547268577.387844,779,0.75
1547268580.053181,799,0.6875
1547268582.7431848,819,0.6875
1547268585.3026936,839,0.875
1547268587.9187915,859,0.6875
1547268590.4004414,879,0.71875
1547268593.2012165,899,0.6875
1547268595.9060333,919,0.625
1547268598.6052744,939,0.78125
1547268600.9673274,959,0.875
1547268603.7809649,979,0.75
1547268606.5998595,999,0.75
1547268609.274759,1019,0.625
1547268611.8374946,1039,0.75
1547268614.4392984,1059,0.78125
1547268617.0801344,1079,0.84375
1547268619.7017078,1099,0.875
1547268622.207008,1119,0.8125
1547268625.1117847,1139,0.90625
1547268627.8325224,1159,0.875
1547268630.6132321,1179,0.75
1547268633.0841746,1199,0.875
1547268635.701493,1219,0.84375
1547268638.3404868,1239,0.71875
1547268640.7972097,1259,0.84375
1547268643.611301,1279,0.78125
1547268646.3612251,1299,0.8125
1547268648.9693,1319,0.75
1547268652.0494065,1339,0.78125
1547268655.3309572,1359,0.71875
1547268657.9198642,1379,0.90625
1547268660.6287823,1399,0.8125
1547268663.3449154,1419,0.84375
1547268666.009786,1439,0.9375
1547268668.6476588,1459,0.90625
1547268671.205421,1479,0.78125
1547268673.702789,1499,0.75
1547268676.4859605,1519,0.84375
1547268679.139219,1539,0.8125
1547268681.6860633,1559,0.78125
1547268684.234787,1579,0.875
1547268686.7895544,1599,0.90625
1547268689.233603,1619,0.875
1547268691.9284146,1639,0.8125
1547268694.6630948,1659,0.71875
1547268697.27685,1679,0.75
1547268700.1952724,1699,0.875
1547268702.7446048,1719,0.75
1547268705.2898417,1739,0.875
1547268708.016251,1759,0.875
1547268710.877163,1779,0.875
1547268713.6990368,1799,0.875
1547268716.3674078,1819,0.8125
1547268719.2156866,1839,0.8125
1547268722.1471803,1859,0.78125
1547268724.8505456,1879,0.875
1547268727.764946,1899,0.875
1547268730.6896284,1919,0.90625
1547268733.3592205,1939,0.90625
1547268735.933889,1959,0.875
1547268738.7503817,1979,0.9375
1547268741.5586824,1999,0.6875
1547268744.8119714,2019,0.71875
1547268747.4740067,2039,0.78125
1547268750.243044,2059,0.9375
1547268752.9918423,2079,0.84375
1547268755.85874,2099,0.90625
1547268758.481771,2119,0.78125
1547268761.3028805,2139,0.84375
1547268763.9714465,2159,0.8125
1547268766.4246793,2179,0.90625
1547268769.017841,2199,0.78125
1547268771.5847952,2219,0.875
1547268774.145388,2239,0.75
1547268776.942267,2259,0.84375
1547268779.562042,2279,0.90625
