Wall time,Step,Value
1547373073.9413939,119,0.09375
1547373076.6636763,139,0.09375
1547373086.8634782,219,0.09375
1547373089.5848618,239,0.0625
1547373094.7446249,279,0.125
1547373097.321919,299,0.1875
1547373100.1198134,319,0.09375
1547373102.9983277,339,0.09375
1547373105.5468445,359,0.15625
1547373108.1468577,379,0.15625
1547373110.6178684,399,0.03125
1547373113.2843866,419,0.09375
1547373123.7686594,499,0.0625
1547373126.285292,519,0.1875
1547373147.568855,679,0.1875
1547373150.1323428,699,0.1875
1547373155.3602707,739,0.09375
1547373163.5075467,799,0.125
1547373166.1518586,819,0.09375
1547373171.3214889,859,0.15625
1547373176.8748474,899,0.15625
1547373179.5285447,919,0.21875
1547373184.8605895,959,0.21875
1547373189.8529303,999,0.15625
1547373192.3954735,1019,0.09375
1547373200.0088775,1079,0.25
1547373202.4553218,1099,0.34375
1547373205.1318521,1119,0.34375
1547373207.644326,1139,0.21875
1547373210.241784,1159,0.28125
1547373218.0089636,1219,0.1875
1547373220.5558844,1239,0.21875
1547373226.0546684,1279,0.09375
1547373231.4376757,1319,0.21875
1547373233.940207,1339,0.15625
1547373236.6522593,1359,0.1875
1547373239.3462522,1379,0.25
1547373246.9335132,1439,0.125
1547373249.7535875,1459,0.125
1547373252.5636382,1479,0.21875
1547373255.3643048,1499,0.09375
1547373260.4336948,1539,0.125
1547373268.5231242,1599,0.15625
1547373281.335634,1699,0.21875
1547373284.1487262,1719,0.15625
1547373286.6740637,1739,0.21875
1547373289.1906993,1759,0.25
1547373291.8051126,1779,0.15625
1547373294.550144,1799,0.1875
1547373307.5616632,1899,0.25
1547373328.8216891,2059,0.0625
1547373337.0050888,2119,0.1875
1547373339.554853,2139,0.15625
1547373358.3671813,2279,0.21875
1547373366.382867,2339,0.28125
1547373371.7148929,2379,0.15625
1547373374.4866292,2399,0.3125
1547373377.1854916,2419,0.15625
1547373387.6584413,2499,0.25
1547373390.2354271,2519,0.28125
1547373393.3984041,2539,0.3125
1547373401.264094,2599,0.28125
1547373403.9233856,2619,0.28125
1547373411.9896312,2679,0.3125
1547373422.5080647,2759,0.3125
1547373427.7872503,2799,0.34375
1547373432.9260428,2839,0.21875
1547373435.727264,2859,0.1875
1547373438.3837414,2879,0.25
1547373440.9794912,2899,0.34375
1547373446.519041,2939,0.375
1547373451.978918,2979,0.21875
1547373457.5920143,3019,0.375
1547373465.6788116,3079,0.3125
1547373468.3464925,3099,0.28125
1547373471.049027,3119,0.09375
1547373476.484216,3159,0.375
1547373479.1411746,3179,0.3125
1547373481.895919,3199,0.15625
1547373490.075389,3259,0.25
1547373495.147543,3299,0.34375
1547373497.6634111,3319,0.40625
1547373502.8597183,3359,0.28125
1547373505.8064187,3379,0.4375
1547373513.9056146,3439,0.4375
1547373524.6318824,3519,0.4375
1547373527.1823547,3539,0.40625
1547373529.702595,3559,0.34375
1547373532.4239707,3579,0.3125
1547373537.6989622,3619,0.21875
1547373540.3981652,3639,0.25
1547373545.6189206,3679,0.40625
1547373551.0917985,3719,0.28125
1547373553.7137856,3739,0.3125
1547373556.494454,3759,0.4375
1547373558.9002712,3779,0.34375
1547373564.0417783,3819,0.3125
1547373566.9514518,3839,0.375
1547373585.98095,3979,0.28125
1547373597.0170138,4059,0.4375
1547373607.3287516,4139,0.3125
1547373609.9484828,4159,0.28125
1547373612.5598042,4179,0.3125
1547373623.1052964,4259,0.40625
1547373625.7965906,4279,0.4375
1547373631.3036833,4319,0.4375
1547373639.626323,4379,0.5
1547373642.2759671,4399,0.25
1547373650.0972328,4459,0.46875
1547373652.7230184,4479,0.28125
1547373658.39393,4519,0.40625
1547373661.1619508,4539,0.40625
1547373663.8092937,4559,0.4375
1547373669.1862154,4599,0.46875
1547373671.7833838,4619,0.375
1547373674.4362676,4639,0.40625
1547373677.2476068,4659,0.34375
1547373679.7311544,4679,0.375
1547373682.6504087,4699,0.34375
1547373690.487961,4759,0.34375
1547373698.5707583,4819,0.5
1547373709.4393408,4899,0.34375
1547373712.1623228,4919,0.4375
1547373717.8879156,4959,0.3125
1547373723.3025157,4999,0.53125
1547373726.0484898,5019,0.34375
1547373739.852307,5119,0.40625
1547373747.9666677,5179,0.4375
1547373750.7752442,5199,0.46875
1547373753.1540499,5219,0.375
1547373755.770313,5239,0.53125
1547373761.033451,5279,0.375
1547373771.9272306,5359,0.53125
1547373777.2246876,5399,0.5625
1547373782.4059074,5439,0.375
1547373787.7009418,5479,0.5
1547373800.7541149,5579,0.46875
1547373806.0904274,5619,0.375
1547373816.9209316,5699,0.375
1547373830.1638694,5799,0.40625
1547373835.4622061,5839,0.46875
1547373838.0708458,5859,0.5
1547373845.6354804,5919,0.5
1547373850.793131,5959,0.40625
1547373853.4218333,5979,0.46875
1547373856.0477874,5999,0.53125
1547373861.3913958,6039,0.53125
1547373864.011771,6059,0.4375
1547373866.6630042,6079,0.4375
1547373877.0833352,6159,0.5
1547373879.8247337,6179,0.34375
1547373885.1732757,6219,0.4375
1547373892.9835474,6279,0.375
1547373903.4923506,6359,0.65625
1547373906.1212394,6379,0.4375
1547373908.8590715,6399,0.46875
1547373911.5689616,6419,0.46875
1547373917.2117937,6459,0.5625
1547373925.195999,6519,0.5
1547373927.9513838,6539,0.375
1547373930.8209076,6559,0.40625
1547373938.8228428,6619,0.5
1547373941.544005,6639,0.4375
1547373947.241177,6679,0.34375
1547373963.5551457,6799,0.5625
1547373968.8429718,6839,0.40625
1547373976.8690047,6899,0.46875
1547373979.549039,6919,0.40625
1547373984.4119496,6959,0.65625
1547373986.991752,6979,0.40625
1547374000.3065004,7079,0.40625
1547374002.855168,7099,0.46875
1547374008.138467,7139,0.59375
1547374013.2192261,7179,0.6875
1547374016.0914118,7199,0.375
1547374018.7748687,7219,0.5625
1547374026.8287754,7279,0.4375
1547374029.6561623,7299,0.5
1547374032.3051333,7319,0.59375
1547374037.7406805,7359,0.53125
1547374040.343085,7379,0.4375
1547374045.695277,7419,0.3125
1547374048.3611605,7439,0.4375
1547374053.241955,7479,0.5
1547374058.527991,7519,0.5625
1547374064.0728,7559,0.40625
1547374067.268657,7579,0.5625
1547374069.9917927,7599,0.59375
1547374075.224934,7639,0.625
1547374077.6376219,7659,0.46875
1547374085.82119,7719,0.34375
1547374088.3792684,7739,0.25
1547374090.923619,7759,0.625
1547374093.6569772,7779,0.5625
1547374098.7815223,7819,0.4375
1547374101.2534854,7839,0.375
1547374103.9746268,7859,0.5625
1547374106.5871112,7879,0.4375
1547374129.9917414,8059,0.6875
1547374132.6866128,8079,0.53125
1547374137.8443944,8119,0.5625
1547374145.954266,8179,0.5625
1547374164.056854,8319,0.5625
1547374166.7448337,8339,0.46875
1547374177.4455798,8419,0.46875
1547374180.2328334,8439,0.5625
1547374183.0908237,8459,0.53125
1547374188.418899,8499,0.34375
1547374193.8640032,8539,0.59375
1547374204.400467,8619,0.625
1547374228.1397712,8799,0.65625
1547374230.7321944,8819,0.71875
1547374233.6585586,8839,0.5625
1547374236.473423,8859,0.59375
1547374241.2874086,8899,0.53125
1547374244.1395376,8919,0.5
1547374251.9072647,8979,0.4375
1547374259.8917444,9039,0.71875
1547374275.5348587,9159,0.71875
1547374278.3239622,9179,0.40625
1547374281.1618724,9199,0.59375
1547374283.796293,9219,0.3125
1547374286.3382826,9239,0.65625
1547374291.7006936,9279,0.59375
1547374294.230351,9299,0.625
1547374296.9778726,9319,0.46875
1547374302.3165784,9359,0.6875
1547374305.032163,9379,0.65625
1547374307.5809798,9399,0.5625
1547374312.8567126,9439,0.4375
1547374317.907786,9479,0.53125
1547374320.585852,9499,0.5625
1547374331.7618153,9579,0.59375
1547374350.3253381,9719,0.34375
1547374358.4644933,9779,0.625
1547374361.0800087,9799,0.625
1547374366.3803885,9839,0.46875
1547374371.8247883,9879,0.6875
1547374379.861118,9939,0.5625
1547374398.1859694,10079,0.5625
1547374408.939256,10159,0.59375
1547374416.6951995,10219,0.59375
1547374419.3335047,10239,0.5625
1547374421.89044,10259,0.65625
1547374427.2955909,10299,0.625
1547374432.3390365,10339,0.4375
1547374434.9578316,10359,0.65625
1547374440.1194763,10399,0.53125
1547374453.4085634,10499,0.59375
1547374455.9692354,10519,0.46875
1547374471.7698207,10639,0.71875
1547374476.9646456,10679,0.59375
1547374479.6649446,10699,0.5625
1547374482.315504,10719,0.5625
1547374485.021485,10739,0.625
1547374487.693218,10759,0.59375
1547374490.5709243,10779,0.6875
1547374493.2615662,10799,0.5625
1547374495.8188155,10819,0.5
1547374498.397525,10839,0.6875
1547374500.9739397,10859,0.59375
1547374506.1968682,10899,0.59375
1547374514.0910895,10959,0.5625
1547374516.5346968,10979,0.59375
1547374519.2832074,10999,0.53125
1547374524.7037961,11039,0.6875
1547374535.2698689,11119,0.625
1547374540.689335,11159,0.625
1547374545.9214804,11199,0.65625
1547374548.86661,11219,0.5625
1547374557.2191784,11279,0.53125
1547374559.619515,11299,0.6875
1547374562.3992455,11319,0.625
1547374567.7341652,11359,0.5
1547374572.9565713,11399,0.5
1547374578.1687882,11439,0.65625
1547374584.0968795,11479,0.4375
1547374586.8008707,11499,0.6875
1547374594.6040514,11559,0.625
1547374599.8543818,11599,0.5625
