Wall time,Step,Value
1541827834.9379284,25,13.537097930908203
1541827851.8140354,30,13.382842063903809
1541827918.3868644,50,12.850253105163574
1541827935.2194698,55,12.732927322387695
1541827968.4669263,65,12.517282485961914
1541827984.972614,70,12.411689758300781
1541828001.6403272,75,12.304821968078613
1541828034.73143,85,12.102622032165527
1541828051.1697652,90,12.001265525817871
1541828068.0507624,95,11.895898818969727
1541828084.5847394,100,11.802175521850586
1541828151.0412025,120,11.42129135131836
1541828300.9334342,165,10.623559951782227
1541828317.3542714,170,10.53638744354248
1541828350.6941001,180,10.37338638305664
1541828399.8946385,195,10.12830924987793
1541828416.489611,200,10.04052734375
1541828449.6890714,210,9.890334129333496
1541828483.1999495,220,9.724967002868652
1541828499.543458,225,9.655596733093262
1541828532.2488797,235,9.500289916992188
1541828565.7944887,245,9.36899471282959
1541828582.2696154,250,9.2782621383667
1541828631.428753,265,9.08129596710205
1541828648.1026344,270,9.01036548614502
1541828664.7967627,275,8.949888229370117
1541828681.4288926,280,8.87557601928711
1541828698.2238424,285,8.779802322387695
1541828747.253981,300,8.586406707763672
1541828763.822546,305,8.524325370788574
1541828796.301666,315,8.42365837097168
1541828828.67547,325,8.337597846984863
1541828845.106309,330,8.256034851074219
1541828861.5844328,335,8.135656356811523
1541828880.2082002,340,8.461681365966797
1541828929.8245308,355,8.30663776397705
1541828946.125732,360,8.251601219177246
1541828962.5715106,365,8.191064834594727
1541828979.0343325,370,8.113612174987793
1541829013.1698365,380,8.108955383300781
1541829066.560104,395,7.927786827087402
1541829150.4133875,420,7.743893623352051
1541829166.9534044,425,7.581559181213379
1541829183.5383284,430,7.662784576416016
1541829200.3667057,435,7.589033126831055
1541829216.6171978,440,7.414453983306885
1541829232.7915652,445,7.369805812835693
1541829315.5564883,470,7.24113655090332
1541829448.1117606,510,6.664535999298096
1541829498.1584518,525,6.844513416290283
1541829514.3565671,530,6.647373676300049
1541829630.4637015,565,6.428961753845215
1541829679.964381,580,6.250783443450928
1541829713.1472652,590,6.1792097091674805
1541829729.4020107,595,6.191192150115967
1541829745.8784919,600,5.993553161621094
1541829812.5811563,620,6.031397342681885
1541829829.5490465,625,5.833171844482422
1541829846.3350754,630,5.7388176918029785
1541829896.1590624,645,5.636627197265625
1541829912.5159838,650,5.637679100036621
1541829962.7882092,665,5.7219648361206055
1541830031.464755,685,5.732969760894775
1541830065.1298344,695,5.406127452850342
1541830097.7909243,705,5.845587730407715
1541830114.28382,710,5.548983097076416
1541830130.8329444,715,5.45302152633667
1541830147.5698986,720,5.588453769683838
1541830213.121938,740,5.599968910217285
1541830246.5790937,750,5.530863285064697
1541830296.475451,765,5.320634841918945
1541830312.8265073,770,5.581290245056152
1541830329.2485328,775,5.164560317993164
1541830362.0615985,785,5.445770263671875
1541830378.925888,790,5.211128234863281
1541830395.3653834,795,5.314576625823975
1541830444.3163786,810,5.195477485656738
1541830477.267405,820,5.239157676696777
1541830494.1076634,825,5.165201187133789
1541830527.1504467,835,5.2342658042907715
1541830543.7728913,840,4.718864440917969
1541830594.0547798,855,4.999999046325684
1541830678.013147,880,5.468888759613037
1541830694.6386132,885,4.726895809173584
1541830711.5308802,890,4.551345348358154
1541830744.1348772,900,4.86701774597168
1541830794.062525,915,4.78825569152832
1541830826.8746674,925,4.421273231506348
1541830843.6614976,930,4.7591657638549805
1541830876.9593568,940,4.476137638092041
1541830910.4738045,950,4.714849948883057
1541830926.788385,955,4.553332805633545
1541831043.3480778,990,4.476317882537842
1541831111.9264977,1010,4.620081424713135
1541831178.6567564,1030,4.478582382202148
1541831195.144253,1035,4.52853536605835
1541831211.3870082,1040,4.678042888641357
1541831276.7266793,1060,4.640594482421875
1541831325.9809024,1075,4.654075622558594
1541831375.51748,1090,4.2857255935668945
1541831392.281667,1095,4.085309982299805
1541831442.6440368,1110,4.253857135772705
1541831459.0529218,1115,4.244942665100098
1541831492.0056615,1125,4.094332218170166
1541831508.8477762,1130,4.398963451385498
1541831525.3318462,1135,4.223612308502197
1541831558.9302526,1145,4.103816032409668
1541831609.2542005,1160,4.257849216461182
1541831625.5374508,1165,4.354472637176514
1541831642.0303028,1170,4.467978000640869
1541831691.8811028,1185,4.1535491943359375
1541831741.7031531,1200,4.130428314208984
1541831824.8913236,1225,4.085363388061523
1541831857.803923,1235,3.8892698287963867
1541831890.817087,1245,3.8623719215393066
1541831907.283023,1250,4.040485858917236
1541831989.6127992,1275,3.904665231704712
1541832039.233721,1290,3.8455564975738525
1541832055.4309556,1295,3.8392820358276367
1541832071.8378658,1300,3.9135079383850098
1541832088.114331,1305,3.836695671081543
1541832121.177749,1315,3.608981132507324
1541832187.9178474,1335,3.653231620788574
1541832223.250397,1345,4.001615524291992
1541832255.5799172,1355,3.9101994037628174
1541832289.1015007,1365,3.79508900642395
1541832371.8791127,1390,3.785566806793213
1541832405.3443427,1400,3.7014005184173584
1541832471.8537343,1420,3.726686716079712
1541832555.2123632,1445,3.6932437419891357
1541832588.977841,1455,3.963717460632324
1541832605.6434689,1460,3.784498929977417
1541832655.8760798,1475,3.490055799484253
1541832689.3730736,1485,3.5404815673828125
1541832706.37048,1490,3.4584851264953613
1541832722.7062275,1495,3.8066322803497314
1541832756.225538,1505,3.588958740234375
1541832773.2304883,1510,3.3948814868927
1541832789.9525795,1515,3.620047092437744
1541832856.3317993,1535,3.5213406085968018
1541832872.9578075,1540,3.3949530124664307
1541832906.433763,1550,3.7033135890960693
1541832956.2112598,1565,3.45743465423584
1541833023.0686526,1585,3.8490042686462402
1541833039.9085839,1590,3.526538610458374
1541833056.5217776,1595,3.5672101974487305
1541833073.373409,1600,3.539613962173462
1541833106.2953033,1610,3.6634440422058105
1541833157.0820851,1625,3.5767769813537598
1541833173.4945188,1630,3.2931771278381348
1541833190.2660897,1635,3.3692564964294434
1541833240.3657665,1650,3.4443070888519287
1541833256.9744709,1655,3.244443416595459
1541833290.3523986,1665,3.3792388439178467
1541833392.8748333,1695,3.273712635040283
1541833425.810023,1705,3.213170289993286
1541833475.9481597,1720,3.286949396133423
1541833492.8494194,1725,3.329348564147949
1541833525.6707566,1735,3.171988010406494
1541833542.647643,1740,3.5146660804748535
1541833625.7115452,1765,3.400696039199829
1541833642.5977278,1770,3.3398776054382324
1541833675.963572,1780,3.274667978286743
1541833709.5032167,1790,3.2034997940063477
