{'Step': 49, 'x_axis': 0, 'Value': 12.995185057322184}
{'Step': 94, 'x_axis': 1, 'Value': 12.003042538960775}
{'Step': 186, 'x_axis': 2, 'Value': 10.327792008717855}
{'Step': 240, 'x_axis': 3, 'Value': 9.487387975056967}
{'Step': 285, 'x_axis': 4, 'Value': 8.828248023986816}
{'Step': 333, 'x_axis': 5, 'Value': 8.317206859588623}
{'Step': 381, 'x_axis': 6, 'Value': 7.964657704035441}
{'Step': 440, 'x_axis': 7, 'Value': 7.3115138212839765}
{'Step': 550, 'x_axis': 8, 'Value': 6.296896696090698}
{'Step': 619, 'x_axis': 9, 'Value': 5.681900103886922}
{'Step': 685, 'x_axis': 10, 'Value': 5.30535348256429}
{'Step': 743, 'x_axis': 11, 'Value': 5.073335250218709}
{'Step': 795, 'x_axis': 12, 'Value': 4.55961799621582}
{'Step': 853, 'x_axis': 13, 'Value': 4.233237346013387}
{'Step': 916, 'x_axis': 14, 'Value': 3.85079018274943}
{'Step': 995, 'x_axis': 15, 'Value': 3.76731546719869}
{'Step': 1078, 'x_axis': 16, 'Value': 3.5285116831461587}
{'Step': 1135, 'x_axis': 17, 'Value': 3.287826577822367}
{'Step': 1196, 'x_axis': 18, 'Value': 3.211738705635071}
{'Step': 1275, 'x_axis': 19, 'Value': 3.067124923070272}
{'Step': 1336, 'x_axis': 20, 'Value': 2.996108293533325}
{'Step': 1428, 'x_axis': 21, 'Value': 2.9541387955347695}
{'Step': 1493, 'x_axis': 22, 'Value': 2.8348474899927774}
{'Step': 1548, 'x_axis': 23, 'Value': 2.7602639198303223}
{'Step': 1608, 'x_axis': 24, 'Value': 2.628778338432312}
{'Step': 1667, 'x_axis': 25, 'Value': 2.5498947302500405}
{'Step': 1742, 'x_axis': 26, 'Value': 2.630406657854716}
{'Step': 1800, 'x_axis': 27, 'Value': 2.509182095527649}
{'Step': 1855, 'x_axis': 28, 'Value': 2.4484287897745767}
{'Step': 1909, 'x_axis': 29, 'Value': 2.435497244199117}
{'Step': 1950, 'x_axis': 30, 'Value': 2.40596338113149}
{'Step': 2040, 'x_axis': 31, 'Value': 2.4494868516921997}
{'Step': 2119, 'x_axis': 32, 'Value': 2.457576870918274}
{'Step': 2209, 'x_axis': 33, 'Value': 2.2922939459482827}
{'Step': 2280, 'x_axis': 34, 'Value': 2.228652000427246}
{'Step': 2330, 'x_axis': 35, 'Value': 2.2110513846079507}
{'Step': 2390, 'x_axis': 36, 'Value': 2.2413731813430786}
{'Step': 2488, 'x_axis': 37, 'Value': 2.2407265504201255}
{'Step': 2574, 'x_axis': 38, 'Value': 2.1740001440048218}
{'Step': 2651, 'x_axis': 39, 'Value': 2.1449652314186096}
{'Step': 2692, 'x_axis': 40, 'Value': 2.196538766225179}
{'Step': 2734, 'x_axis': 41, 'Value': 2.266911427179972}
{'Step': 2802, 'x_axis': 42, 'Value': 2.165378669897715}
{'Step': 2859, 'x_axis': 43, 'Value': 2.217211902141571}
{'Step': 2907, 'x_axis': 44, 'Value': 2.2086314757665}
{'Step': 2957, 'x_axis': 45, 'Value': 2.105614980061849}
{'Step': 3014, 'x_axis': 46, 'Value': 2.0853790044784546}
{'Step': 3072, 'x_axis': 47, 'Value': 2.2205843925476074}
{'Step': 3145, 'x_axis': 48, 'Value': 2.1015394926071167}
{'Step': 3226, 'x_axis': 49, 'Value': 2.096271514892578}
{'Step': 3270, 'x_axis': 50, 'Value': 1.9665286143620808}
{'Step': 3330, 'x_axis': 51, 'Value': 2.0650795300801597}
{'Step': 3374, 'x_axis': 52, 'Value': 2.1617799599965415}
{'Step': 3411, 'x_axis': 53, 'Value': 2.069590389728546}
{'Step': 3458, 'x_axis': 54, 'Value': 2.05366975069046}
{'Step': 3519, 'x_axis': 55, 'Value': 1.9767226179440816}
{'Step': 3575, 'x_axis': 56, 'Value': 2.0873760978380838}
{'Step': 3624, 'x_axis': 57, 'Value': 1.944163739681244}
{'Step': 3686, 'x_axis': 58, 'Value': 2.0307671229044595}
{'Step': 3740, 'x_axis': 59, 'Value': 2.0593828360239663}
{'Step': 3796, 'x_axis': 60, 'Value': 2.0469860633214316}
{'Step': 3846, 'x_axis': 61, 'Value': 2.057934284210205}
{'Step': 3904, 'x_axis': 62, 'Value': 1.9112933278083801}
{'Step': 3961, 'x_axis': 63, 'Value': 1.8573379119237263}
{'Step': 4006, 'x_axis': 64, 'Value': 1.908076028029124}
{'Step': 4065, 'x_axis': 65, 'Value': 2.0560400088628135}
{'Step': 4126, 'x_axis': 66, 'Value': 2.0321826338768005}
{'Step': 4190, 'x_axis': 67, 'Value': 1.980129341284434}
{'Step': 4256, 'x_axis': 68, 'Value': 2.083689510822296}
{'Step': 4318, 'x_axis': 69, 'Value': 1.840537468592326}
{'Step': 4370, 'x_axis': 70, 'Value': 2.016940255959829}
{'Step': 4410, 'x_axis': 71, 'Value': 2.00258199373881}
{'Step': 4465, 'x_axis': 72, 'Value': 1.972982108592987}
{'Step': 4537, 'x_axis': 73, 'Value': 1.9042019446690877}
{'Step': 4577, 'x_axis': 74, 'Value': 1.958496630191803}
{'Step': 4628, 'x_axis': 75, 'Value': 1.885439157485962}
{'Step': 4702, 'x_axis': 76, 'Value': 1.9338396588961284}
{'Step': 4775, 'x_axis': 77, 'Value': 2.045012911160787}
{'Step': 4824, 'x_axis': 78, 'Value': 1.911889870961507}
{'Step': 4873, 'x_axis': 79, 'Value': 1.9460769097010295}
{'Step': 4919, 'x_axis': 80, 'Value': 1.8850769996643066}
{'Step': 5005, 'x_axis': 81, 'Value': 1.817530890305837}
{'Step': 5055, 'x_axis': 82, 'Value': 1.9647226730982463}
{'Step': 5129, 'x_axis': 83, 'Value': 2.0377787947654724}
{'Step': 5178, 'x_axis': 84, 'Value': 2.0757168332735696}
{'Step': 5234, 'x_axis': 85, 'Value': 1.9228858550389607}
{'Step': 5310, 'x_axis': 86, 'Value': 1.9674891630808513}
{'Step': 5385, 'x_axis': 87, 'Value': 1.9647342562675476}
{'Step': 5433, 'x_axis': 88, 'Value': 2.1262058218320212}
{'Step': 5504, 'x_axis': 89, 'Value': 1.9932982126871746}
{'Step': 5599, 'x_axis': 90, 'Value': 2.2000722885131836}
{'Step': 5645, 'x_axis': 91, 'Value': 1.9565435846646626}
{'Step': 5696, 'x_axis': 92, 'Value': 2.1012156009674072}
{'Step': 5767, 'x_axis': 93, 'Value': 2.2343854506810508}
{'Step': 5837, 'x_axis': 94, 'Value': 2.180577059586843}
{'Step': 5930, 'x_axis': 95, 'Value': 2.2036733428637185}
{'Step': 5977, 'x_axis': 96, 'Value': 2.1827222307523093}
{'Step': 6017, 'x_axis': 97, 'Value': 2.1523653864860535}
{'Step': 6062, 'x_axis': 98, 'Value': 2.2593830029169717}
{'Step': 6129, 'x_axis': 99, 'Value': 2.2616382439931235}
{'Step': 6190, 'x_axis': 100, 'Value': 2.4646642208099365}
{'Step': 6249, 'x_axis': 101, 'Value': 2.078683535257975}
{'Step': 6293, 'x_axis': 102, 'Value': 2.128147562344869}
{'Step': 6334, 'x_axis': 103, 'Value': 2.0741596817970276}
{'Step': 6403, 'x_axis': 104, 'Value': 2.2785257498423257}
{'Step': 6462, 'x_axis': 105, 'Value': 2.167763372262319}
{'Step': 6511, 'x_axis': 106, 'Value': 2.364649216334025}
{'Step': 6570, 'x_axis': 107, 'Value': 2.1648191610972085}
{'Step': 6630, 'x_axis': 108, 'Value': 2.0695722699165344}
{'Step': 6672, 'x_axis': 109, 'Value': 2.13550599416097}
{'Step': 6726, 'x_axis': 110, 'Value': 2.4607792297999063}
