{'Step': 49, 'Value': 0.015625, 'x_axis': 0}
{'Step': 94, 'Value': 0.026041666666666668, 'x_axis': 1}
{'Step': 186, 'Value': 0.026041666666666668, 'x_axis': 2}
{'Step': 240, 'Value': 0.020833333333333332, 'x_axis': 3}
{'Step': 285, 'Value': 0.026041666666666668, 'x_axis': 4}
{'Step': 333, 'Value': 0.03125, 'x_axis': 5}
{'Step': 381, 'Value': 0.057291666666666664, 'x_axis': 6}
{'Step': 440, 'Value': 0.06770833333333333, 'x_axis': 7}
{'Step': 550, 'Value': 0.10416666666666667, 'x_axis': 8}
{'Step': 619, 'Value': 0.203125, 'x_axis': 9}
{'Step': 685, 'Value': 0.17708333333333334, 'x_axis': 10}
{'Step': 743, 'Value': 0.203125, 'x_axis': 11}
{'Step': 795, 'Value': 0.3020833333333333, 'x_axis': 12}
{'Step': 853, 'Value': 0.296875, 'x_axis': 13}
{'Step': 916, 'Value': 0.3802083333333333, 'x_axis': 14}
{'Step': 995, 'Value': 0.375, 'x_axis': 15}
{'Step': 1078, 'Value': 0.4739583333333333, 'x_axis': 16}
{'Step': 1135, 'Value': 0.515625, 'x_axis': 17}
{'Step': 1196, 'Value': 0.5, 'x_axis': 18}
{'Step': 1275, 'Value': 0.5260416666666666, 'x_axis': 19}
{'Step': 1336, 'Value': 0.5520833333333334, 'x_axis': 20}
{'Step': 1428, 'Value': 0.609375, 'x_axis': 21}
{'Step': 1493, 'Value': 0.5729166666666666, 'x_axis': 22}
{'Step': 1548, 'Value': 0.5989583333333334, 'x_axis': 23}
{'Step': 1608, 'Value': 0.6822916666666666, 'x_axis': 24}
{'Step': 1667, 'Value': 0.6927083333333334, 'x_axis': 25}
{'Step': 1742, 'Value': 0.6666666666666666, 'x_axis': 26}
{'Step': 1800, 'Value': 0.734375, 'x_axis': 27}
{'Step': 1855, 'Value': 0.6770833333333334, 'x_axis': 28}
{'Step': 1909, 'Value': 0.7708333333333334, 'x_axis': 29}
{'Step': 1950, 'Value': 0.7239583333333334, 'x_axis': 30}
{'Step': 2040, 'Value': 0.71875, 'x_axis': 31}
{'Step': 2119, 'Value': 0.765625, 'x_axis': 32}
{'Step': 2209, 'Value': 0.6770833333333334, 'x_axis': 33}
{'Step': 2280, 'Value': 0.7916666666666666, 'x_axis': 34}
{'Step': 2330, 'Value': 0.7760416666666666, 'x_axis': 35}
{'Step': 2390, 'Value': 0.765625, 'x_axis': 36}
{'Step': 2488, 'Value': 0.859375, 'x_axis': 37}
{'Step': 2574, 'Value': 0.78125, 'x_axis': 38}
{'Step': 2651, 'Value': 0.8125, 'x_axis': 39}
{'Step': 2692, 'Value': 0.7708333333333334, 'x_axis': 40}
{'Step': 2734, 'Value': 0.8958333333333334, 'x_axis': 41}
{'Step': 2802, 'Value': 0.8177083333333334, 'x_axis': 42}
{'Step': 2859, 'Value': 0.8229166666666666, 'x_axis': 43}
{'Step': 2907, 'Value': 0.8385416666666666, 'x_axis': 44}
{'Step': 2957, 'Value': 0.859375, 'x_axis': 45}
{'Step': 3014, 'Value': 0.796875, 'x_axis': 46}
{'Step': 3072, 'Value': 0.8541666666666666, 'x_axis': 47}
{'Step': 3145, 'Value': 0.875, 'x_axis': 48}
{'Step': 3226, 'Value': 0.8489583333333334, 'x_axis': 49}
{'Step': 3270, 'Value': 0.8125, 'x_axis': 50}
{'Step': 3330, 'Value': 0.8697916666666666, 'x_axis': 51}
{'Step': 3374, 'Value': 0.859375, 'x_axis': 52}
{'Step': 3411, 'Value': 0.8489583333333334, 'x_axis': 53}
{'Step': 3458, 'Value': 0.859375, 'x_axis': 54}
{'Step': 3519, 'Value': 0.8385416666666666, 'x_axis': 55}
{'Step': 3575, 'Value': 0.828125, 'x_axis': 56}
{'Step': 3624, 'Value': 0.84375, 'x_axis': 57}
{'Step': 3686, 'Value': 0.8854166666666666, 'x_axis': 58}
{'Step': 3740, 'Value': 0.8697916666666666, 'x_axis': 59}
{'Step': 3796, 'Value': 0.8333333333333334, 'x_axis': 60}
{'Step': 3846, 'Value': 0.84375, 'x_axis': 61}
{'Step': 3904, 'Value': 0.8802083333333334, 'x_axis': 62}
{'Step': 3961, 'Value': 0.8541666666666666, 'x_axis': 63}
{'Step': 4006, 'Value': 0.8854166666666666, 'x_axis': 64}
{'Step': 4065, 'Value': 0.8125, 'x_axis': 65}
{'Step': 4126, 'Value': 0.8489583333333334, 'x_axis': 66}
{'Step': 4190, 'Value': 0.8541666666666666, 'x_axis': 67}
{'Step': 4256, 'Value': 0.875, 'x_axis': 68}
{'Step': 4318, 'Value': 0.859375, 'x_axis': 69}
{'Step': 4370, 'Value': 0.875, 'x_axis': 70}
{'Step': 4410, 'Value': 0.8958333333333334, 'x_axis': 71}
{'Step': 4465, 'Value': 0.8489583333333334, 'x_axis': 72}
{'Step': 4537, 'Value': 0.8645833333333334, 'x_axis': 73}
{'Step': 4577, 'Value': 0.890625, 'x_axis': 74}
{'Step': 4628, 'Value': 0.8645833333333334, 'x_axis': 75}
{'Step': 4702, 'Value': 0.8802083333333334, 'x_axis': 76}
{'Step': 4775, 'Value': 0.8854166666666666, 'x_axis': 77}
{'Step': 4824, 'Value': 0.890625, 'x_axis': 78}
{'Step': 4873, 'Value': 0.8645833333333334, 'x_axis': 79}
{'Step': 4919, 'Value': 0.875, 'x_axis': 80}
{'Step': 5005, 'Value': 0.9114583333333334, 'x_axis': 81}
{'Step': 5055, 'Value': 0.890625, 'x_axis': 82}
{'Step': 5129, 'Value': 0.9010416666666666, 'x_axis': 83}
{'Step': 5178, 'Value': 0.921875, 'x_axis': 84}
{'Step': 5234, 'Value': 0.8697916666666666, 'x_axis': 85}
{'Step': 5310, 'Value': 0.9114583333333334, 'x_axis': 86}
{'Step': 5385, 'Value': 0.8489583333333334, 'x_axis': 87}
{'Step': 5433, 'Value': 0.8802083333333334, 'x_axis': 88}
{'Step': 5504, 'Value': 0.890625, 'x_axis': 89}
{'Step': 5599, 'Value': 0.8854166666666666, 'x_axis': 90}
{'Step': 5645, 'Value': 0.8958333333333334, 'x_axis': 91}
{'Step': 5696, 'Value': 0.9270833333333334, 'x_axis': 92}
{'Step': 5767, 'Value': 0.875, 'x_axis': 93}
{'Step': 5837, 'Value': 0.8958333333333334, 'x_axis': 94}
{'Step': 5930, 'Value': 0.8958333333333334, 'x_axis': 95}
{'Step': 5977, 'Value': 0.921875, 'x_axis': 96}
{'Step': 6017, 'Value': 0.8802083333333334, 'x_axis': 97}
{'Step': 6062, 'Value': 0.9114583333333334, 'x_axis': 98}
{'Step': 6129, 'Value': 0.9114583333333334, 'x_axis': 99}
{'Step': 6190, 'Value': 0.875, 'x_axis': 100}
{'Step': 6249, 'Value': 0.90625, 'x_axis': 101}
{'Step': 6293, 'Value': 0.9166666666666666, 'x_axis': 102}
{'Step': 6334, 'Value': 0.9270833333333334, 'x_axis': 103}
{'Step': 6403, 'Value': 0.9375, 'x_axis': 104}
{'Step': 6462, 'Value': 0.9479166666666666, 'x_axis': 105}
{'Step': 6511, 'Value': 0.9166666666666666, 'x_axis': 106}
{'Step': 6570, 'Value': 0.9479166666666666, 'x_axis': 107}
{'Step': 6630, 'Value': 0.8854166666666666, 'x_axis': 108}
{'Step': 6672, 'Value': 0.90625, 'x_axis': 109}
{'Step': 6726, 'Value': 0.9166666666666666, 'x_axis': 110}
{'Step': 6781, 'Value': 0.9479166666666666, 'x_axis': 111}
{'Step': 6845, 'Value': 0.9010416666666666, 'x_axis': 112}
{'Step': 6895, 'Value': 0.9375, 'x_axis': 113}
{'Step': 6943, 'Value': 0.9114583333333334, 'x_axis': 114}
{'Step': 7040, 'Value': 0.9375, 'x_axis': 115}
{'Step': 7118, 'Value': 0.9166666666666666, 'x_axis': 116}
{'Step': 7160, 'Value': 0.8958333333333334, 'x_axis': 117}
{'Step': 7212, 'Value': 0.9427083333333334, 'x_axis': 118}
{'Step': 7321, 'Value': 0.9270833333333334, 'x_axis': 119}
{'Step': 7409, 'Value': 0.9375, 'x_axis': 120}
{'Step': 7471, 'Value': 0.9010416666666666, 'x_axis': 121}
{'Step': 7525, 'Value': 0.9166666666666666, 'x_axis': 122}
{'Step': 7559, 'Value': 0.8854166666666666, 'x_axis': 123}
{'Step': 7625, 'Value': 0.9375, 'x_axis': 124}
{'Step': 7718, 'Value': 0.9270833333333334, 'x_axis': 125}
{'Step': 7779, 'Value': 0.9322916666666666, 'x_axis': 126}
{'Step': 7865, 'Value': 0.9270833333333334, 'x_axis': 127}
{'Step': 7936, 'Value': 0.9322916666666666, 'x_axis': 128}
{'Step': 7990, 'Value': 0.921875, 'x_axis': 129}
{'Step': 8044, 'Value': 0.9322916666666666, 'x_axis': 130}
{'Step': 8085, 'Value': 0.921875, 'x_axis': 131}
{'Step': 8139, 'Value': 0.9427083333333334, 'x_axis': 132}
{'Step': 8188, 'Value': 0.9270833333333334, 'x_axis': 133}
{'Step': 8224, 'Value': 0.90625, 'x_axis': 134}
