{'Value': 12.853479703267416, 'Step': 49, 'x_axis': 0}
{'Value': 11.878207365671793, 'Step': 94, 'x_axis': 1}
{'Value': 10.221587498982748, 'Step': 186, 'x_axis': 2}
{'Value': 9.393016656239828, 'Step': 240, 'x_axis': 3}
{'Value': 8.748309771219889, 'Step': 285, 'x_axis': 4}
{'Value': 8.261238098144531, 'Step': 333, 'x_axis': 5}
{'Value': 7.9203024705251055, 'Step': 381, 'x_axis': 6}
{'Value': 7.33149250348409, 'Step': 440, 'x_axis': 7}
{'Value': 6.525756359100342, 'Step': 550, 'x_axis': 8}
{'Value': 6.002395868301392, 'Step': 619, 'x_axis': 9}
{'Value': 6.03452714284261, 'Step': 685, 'x_axis': 10}
{'Value': 5.819602568944295, 'Step': 743, 'x_axis': 11}
{'Value': 5.403144995371501, 'Step': 795, 'x_axis': 12}
{'Value': 5.25801420211792, 'Step': 853, 'x_axis': 13}
{'Value': 4.894990046819051, 'Step': 916, 'x_axis': 14}
{'Value': 4.714631160100301, 'Step': 995, 'x_axis': 15}
{'Value': 4.285365621248881, 'Step': 1078, 'x_axis': 16}
{'Value': 4.175708611806233, 'Step': 1135, 'x_axis': 17}
{'Value': 4.054419914881389, 'Step': 1196, 'x_axis': 18}
{'Value': 3.9359970887502036, 'Step': 1275, 'x_axis': 19}
{'Value': 3.8600396315256753, 'Step': 1336, 'x_axis': 20}
{'Value': 3.7484856446584067, 'Step': 1428, 'x_axis': 21}
{'Value': 3.6352952321370444, 'Step': 1493, 'x_axis': 22}
{'Value': 3.4793912172317505, 'Step': 1548, 'x_axis': 23}
{'Value': 3.306586265563965, 'Step': 1608, 'x_axis': 24}
{'Value': 3.2802708943684897, 'Step': 1667, 'x_axis': 25}
{'Value': 3.4158522288004556, 'Step': 1742, 'x_axis': 26}
{'Value': 3.2023678620656333, 'Step': 1800, 'x_axis': 27}
{'Value': 3.1850185791651406, 'Step': 1855, 'x_axis': 28}
{'Value': 2.991987665494283, 'Step': 1909, 'x_axis': 29}
{'Value': 3.068031668663025, 'Step': 1950, 'x_axis': 30}
{'Value': 3.155285199483236, 'Step': 2040, 'x_axis': 31}
{'Value': 2.9871166547139487, 'Step': 2119, 'x_axis': 32}
{'Value': 3.0880800088246665, 'Step': 2209, 'x_axis': 33}
{'Value': 2.9520766337712607, 'Step': 2280, 'x_axis': 34}
{'Value': 2.8464473883310952, 'Step': 2330, 'x_axis': 35}
{'Value': 2.864184260368347, 'Step': 2390, 'x_axis': 36}
{'Value': 2.731058677037557, 'Step': 2488, 'x_axis': 37}
{'Value': 2.7911649147669473, 'Step': 2574, 'x_axis': 38}
{'Value': 2.6881679693857827, 'Step': 2651, 'x_axis': 39}
{'Value': 2.7911680936813354, 'Step': 2692, 'x_axis': 40}
{'Value': 2.6290235122044883, 'Step': 2734, 'x_axis': 41}
{'Value': 2.791555960973104, 'Step': 2802, 'x_axis': 42}
{'Value': 2.627547303835551, 'Step': 2859, 'x_axis': 43}
{'Value': 2.552520751953125, 'Step': 2907, 'x_axis': 44}
{'Value': 2.616580923398336, 'Step': 2957, 'x_axis': 45}
{'Value': 2.607027451197306, 'Step': 3014, 'x_axis': 46}
{'Value': 2.5975106159845986, 'Step': 3072, 'x_axis': 47}
{'Value': 2.5480393966039023, 'Step': 3145, 'x_axis': 48}
{'Value': 2.5857762495676675, 'Step': 3226, 'x_axis': 49}
{'Value': 2.547301411628723, 'Step': 3270, 'x_axis': 50}
{'Value': 2.43215278784434, 'Step': 3330, 'x_axis': 51}
{'Value': 2.6324408054351807, 'Step': 3374, 'x_axis': 52}
{'Value': 2.6378262042999268, 'Step': 3411, 'x_axis': 53}
{'Value': 2.551892121632894, 'Step': 3458, 'x_axis': 54}
{'Value': 2.6059027115503945, 'Step': 3519, 'x_axis': 55}
{'Value': 2.559633175532023, 'Step': 3575, 'x_axis': 56}
{'Value': 2.527319351832072, 'Step': 3624, 'x_axis': 57}
{'Value': 2.45647132396698, 'Step': 3686, 'x_axis': 58}
{'Value': 2.4916305939356485, 'Step': 3740, 'x_axis': 59}
{'Value': 2.5352251132329306, 'Step': 3796, 'x_axis': 60}
{'Value': 2.536649703979492, 'Step': 3846, 'x_axis': 61}
{'Value': 2.3558855851491294, 'Step': 3904, 'x_axis': 62}
{'Value': 2.4528545141220093, 'Step': 3961, 'x_axis': 63}
{'Value': 2.3926453590393066, 'Step': 4006, 'x_axis': 64}
{'Value': 2.6762229601542153, 'Step': 4065, 'x_axis': 65}
{'Value': 2.490941643714905, 'Step': 4126, 'x_axis': 66}
{'Value': 2.522922396659851, 'Step': 4190, 'x_axis': 67}
{'Value': 2.4301379521687827, 'Step': 4256, 'x_axis': 68}
{'Value': 2.4103662172953286, 'Step': 4318, 'x_axis': 69}
{'Value': 2.6271698077519736, 'Step': 4370, 'x_axis': 70}
{'Value': 2.4666727781295776, 'Step': 4410, 'x_axis': 71}
{'Value': 2.714977224667867, 'Step': 4465, 'x_axis': 72}
{'Value': 2.450320521990458, 'Step': 4537, 'x_axis': 73}
{'Value': 2.3492355346679688, 'Step': 4577, 'x_axis': 74}
{'Value': 2.462572455406189, 'Step': 4628, 'x_axis': 75}
{'Value': 2.5106848875681558, 'Step': 4702, 'x_axis': 76}
{'Value': 2.5415287415186563, 'Step': 4775, 'x_axis': 77}
{'Value': 2.412668784459432, 'Step': 4824, 'x_axis': 78}
{'Value': 2.6242961486180625, 'Step': 4873, 'x_axis': 79}
{'Value': 2.4511598348617554, 'Step': 4919, 'x_axis': 80}
{'Value': 2.621204892794291, 'Step': 5005, 'x_axis': 81}
{'Value': 2.4503242572148642, 'Step': 5055, 'x_axis': 82}
{'Value': 2.5583428541819253, 'Step': 5129, 'x_axis': 83}
{'Value': 2.3836295207341514, 'Step': 5178, 'x_axis': 84}
{'Value': 2.4927662213643393, 'Step': 5234, 'x_axis': 85}
{'Value': 2.436193346977234, 'Step': 5310, 'x_axis': 86}
{'Value': 2.8177946408589682, 'Step': 5385, 'x_axis': 87}
{'Value': 2.7760423024495444, 'Step': 5433, 'x_axis': 88}
{'Value': 2.54173215230306, 'Step': 5504, 'x_axis': 89}
{'Value': 2.3908626238505044, 'Step': 5599, 'x_axis': 90}
{'Value': 2.4684528509775796, 'Step': 5645, 'x_axis': 91}
{'Value': 2.4455089569091797, 'Step': 5696, 'x_axis': 92}
{'Value': 2.7393554051717124, 'Step': 5767, 'x_axis': 93}
{'Value': 2.573986371358236, 'Step': 5837, 'x_axis': 94}
{'Value': 2.575379967689514, 'Step': 5930, 'x_axis': 95}
{'Value': 2.5297573804855347, 'Step': 5977, 'x_axis': 96}
{'Value': 2.609792153040568, 'Step': 6017, 'x_axis': 97}
{'Value': 2.8969458738962808, 'Step': 6062, 'x_axis': 98}
{'Value': 2.4760690530141196, 'Step': 6129, 'x_axis': 99}
{'Value': 2.955180009206136, 'Step': 6190, 'x_axis': 100}
{'Value': 2.5555140177408853, 'Step': 6249, 'x_axis': 101}
{'Value': 2.538991332054138, 'Step': 6293, 'x_axis': 102}
{'Value': 2.4712578852971396, 'Step': 6334, 'x_axis': 103}
{'Value': 2.703678011894226, 'Step': 6403, 'x_axis': 104}
{'Value': 2.6503514846165976, 'Step': 6462, 'x_axis': 105}
{'Value': 2.9162445863087973, 'Step': 6511, 'x_axis': 106}
{'Value': 2.5733997424443564, 'Step': 6570, 'x_axis': 107}
{'Value': 2.7397252718607583, 'Step': 6630, 'x_axis': 108}
{'Value': 2.5351517597834268, 'Step': 6672, 'x_axis': 109}
{'Value': 2.927135388056437, 'Step': 6726, 'x_axis': 110}
{'Value': 2.692747712135315, 'Step': 6781, 'x_axis': 111}
{'Value': 2.8039133151372275, 'Step': 6845, 'x_axis': 112}
{'Value': 2.9318050543467202, 'Step': 6895, 'x_axis': 113}
{'Value': 2.7144530216852822, 'Step': 6943, 'x_axis': 114}
{'Value': 2.664845625559489, 'Step': 7040, 'x_axis': 115}
{'Value': 2.9148553212483725, 'Step': 7118, 'x_axis': 116}
{'Value': 3.1311459143956504, 'Step': 7160, 'x_axis': 117}
{'Value': 2.8609523375829062, 'Step': 7212, 'x_axis': 118}
{'Value': 2.9600230058034263, 'Step': 7321, 'x_axis': 119}
{'Value': 2.8304254611333213, 'Step': 7409, 'x_axis': 120}
{'Value': 3.1685734589894614, 'Step': 7471, 'x_axis': 121}
{'Value': 2.9246143102645874, 'Step': 7525, 'x_axis': 122}
{'Value': 3.1665204763412476, 'Step': 7559, 'x_axis': 123}
{'Value': 2.7609724203745523, 'Step': 7625, 'x_axis': 124}
{'Value': 2.984437266985575, 'Step': 7718, 'x_axis': 125}
{'Value': 3.047280271848043, 'Step': 7779, 'x_axis': 126}
{'Value': 3.063154697418213, 'Step': 7865, 'x_axis': 127}
{'Value': 3.0924182335535684, 'Step': 7936, 'x_axis': 128}
{'Value': 2.983205795288086, 'Step': 7990, 'x_axis': 129}
{'Value': 3.295979698499044, 'Step': 8044, 'x_axis': 130}
{'Value': 3.5633926391601562, 'Step': 8085, 'x_axis': 131}
{'Value': 3.2245521545410156, 'Step': 8139, 'x_axis': 132}
{'Value': 3.3874441385269165, 'Step': 8188, 'x_axis': 133}
{'Value': 3.278549869855245, 'Step': 8224, 'x_axis': 134}
{'Value': 3.220132033030192, 'Step': 8274, 'x_axis': 135}
{'Value': 3.0244848330815635, 'Step': 8320, 'x_axis': 136}
{'Value': 3.6397343079249063, 'Step': 8378, 'x_axis': 137}
{'Value': 3.650384545326233, 'Step': 8435, 'x_axis': 138}
{'Value': 3.377947966257731, 'Step': 8485, 'x_axis': 139}
{'Value': 3.677026947339376, 'Step': 8530, 'x_axis': 140}
{'Value': 3.0642970403035483, 'Step': 8588, 'x_axis': 141}
{'Value': 3.056827704111735, 'Step': 8653, 'x_axis': 142}
{'Value': 3.1234474182128906, 'Step': 8695, 'x_axis': 143}
{'Value': 3.324983994166056, 'Step': 8744, 'x_axis': 144}
{'Value': 3.508002678553263, 'Step': 8809, 'x_axis': 145}
{'Value': 3.5414369106292725, 'Step': 8897, 'x_axis': 146}
{'Value': 3.26451583703359, 'Step': 8946, 'x_axis': 147}
{'Value': 3.342872699101766, 'Step': 9002, 'x_axis': 148}
{'Value': 3.8861325124524675, 'Step': 9550, 'x_axis': 149}
