{'Value': 0.052083333333333336, 'Step': 145, 'x_axis': 0}
{'Value': 0.041666666666666664, 'Step': 375, 'x_axis': 1}
{'Value': 0.041666666666666664, 'Step': 709, 'x_axis': 2}
{'Value': 0.10416666666666667, 'Step': 940, 'x_axis': 3}
{'Value': 0.171875, 'Step': 1208, 'x_axis': 4}
{'Value': 0.2708333333333333, 'Step': 1434, 'x_axis': 5}
{'Value': 0.3072916666666667, 'Step': 1720, 'x_axis': 6}
{'Value': 0.40625, 'Step': 2175, 'x_axis': 7}
{'Value': 0.4166666666666667, 'Step': 2370, 'x_axis': 8}
{'Value': 0.4270833333333333, 'Step': 2637, 'x_axis': 9}
{'Value': 0.5052083333333334, 'Step': 2833, 'x_axis': 10}
{'Value': 0.4791666666666667, 'Step': 3042, 'x_axis': 11}
{'Value': 0.5, 'Step': 3236, 'x_axis': 12}
{'Value': 0.4947916666666667, 'Step': 3456, 'x_axis': 13}
{'Value': 0.5208333333333334, 'Step': 3670, 'x_axis': 14}
{'Value': 0.4895833333333333, 'Step': 3819, 'x_axis': 15}
{'Value': 0.4583333333333333, 'Step': 3925, 'x_axis': 16}
{'Value': 0.546875, 'Step': 4070, 'x_axis': 17}
{'Value': 0.578125, 'Step': 4405, 'x_axis': 18}
{'Value': 0.53125, 'Step': 4565, 'x_axis': 19}
{'Value': 0.5729166666666666, 'Step': 4744, 'x_axis': 20}
{'Value': 0.53125, 'Step': 4900, 'x_axis': 21}
{'Value': 0.578125, 'Step': 5089, 'x_axis': 22}
{'Value': 0.5260416666666666, 'Step': 5336, 'x_axis': 23}
{'Value': 0.5572916666666666, 'Step': 5496, 'x_axis': 24}
{'Value': 0.5989583333333334, 'Step': 5781, 'x_axis': 25}
{'Value': 0.625, 'Step': 6046, 'x_axis': 26}
{'Value': 0.5989583333333334, 'Step': 6321, 'x_axis': 27}
{'Value': 0.6458333333333334, 'Step': 6557, 'x_axis': 28}
{'Value': 0.6510416666666666, 'Step': 6808, 'x_axis': 29}
{'Value': 0.6770833333333334, 'Step': 7106, 'x_axis': 30}
{'Value': 0.6302083333333334, 'Step': 7351, 'x_axis': 31}
{'Value': 0.6614583333333334, 'Step': 7584, 'x_axis': 32}
{'Value': 0.6354166666666666, 'Step': 7865, 'x_axis': 33}
{'Value': 0.6458333333333334, 'Step': 8069, 'x_axis': 34}
{'Value': 0.7395833333333334, 'Step': 8248, 'x_axis': 35}
