{'x_axis': 0, 'Step': 145, 'Value': 9.961866537729898}
{'x_axis': 1, 'Step': 375, 'Value': 6.811040163040161}
{'x_axis': 2, 'Step': 709, 'Value': 4.112641890843709}
{'x_axis': 3, 'Step': 940, 'Value': 3.018438696861267}
{'x_axis': 4, 'Step': 1208, 'Value': 2.419553558031718}
{'x_axis': 5, 'Step': 1434, 'Value': 2.0995999773343406}
{'x_axis': 6, 'Step': 1720, 'Value': 1.8558686971664429}
{'x_axis': 7, 'Step': 2175, 'Value': 1.5318123698234558}
{'x_axis': 8, 'Step': 2370, 'Value': 1.4406703909238179}
{'x_axis': 9, 'Step': 2637, 'Value': 1.4756324291229248}
{'x_axis': 10, 'Step': 2833, 'Value': 1.3705678780873616}
{'x_axis': 11, 'Step': 3042, 'Value': 1.3210420807202656}
{'x_axis': 12, 'Step': 3236, 'Value': 1.274221142133077}
{'x_axis': 13, 'Step': 3456, 'Value': 1.2118958433469136}
{'x_axis': 14, 'Step': 3670, 'Value': 1.1694339712460835}
{'x_axis': 15, 'Step': 3819, 'Value': 1.2600757082303364}
{'x_axis': 16, 'Step': 3925, 'Value': 1.2464619278907776}
{'x_axis': 17, 'Step': 4070, 'Value': 1.2022413810094197}
{'x_axis': 18, 'Step': 4405, 'Value': 1.1658049424489338}
{'x_axis': 19, 'Step': 4565, 'Value': 1.1394448081652324}
{'x_axis': 20, 'Step': 4744, 'Value': 1.0867453813552856}
{'x_axis': 21, 'Step': 4900, 'Value': 1.1121415893236797}
{'x_axis': 22, 'Step': 5089, 'Value': 1.0956455767154694}
{'x_axis': 23, 'Step': 5336, 'Value': 1.1505960822105408}
{'x_axis': 24, 'Step': 5496, 'Value': 1.0652843713760376}
{'x_axis': 25, 'Step': 5781, 'Value': 1.0145973960558574}
{'x_axis': 26, 'Step': 6046, 'Value': 1.0534314513206482}
{'x_axis': 27, 'Step': 6321, 'Value': 1.101629763841629}
{'x_axis': 28, 'Step': 6557, 'Value': 1.0331124067306519}
{'x_axis': 29, 'Step': 6808, 'Value': 1.0506669878959656}
{'x_axis': 30, 'Step': 7106, 'Value': 0.9676215847333273}
{'x_axis': 31, 'Step': 7351, 'Value': 0.9857307175795237}
{'x_axis': 32, 'Step': 7584, 'Value': 1.0491579473018646}
