{'x_axis': 0, 'Value': 0.03125, 'Step': 145}
{'x_axis': 1, 'Value': 0.046875, 'Step': 375}
{'x_axis': 2, 'Value': 0.046875, 'Step': 709}
{'x_axis': 3, 'Value': 0.052083333333333336, 'Step': 940}
{'x_axis': 4, 'Value': 0.09375, 'Step': 1208}
{'x_axis': 5, 'Value': 0.09895833333333333, 'Step': 1434}
{'x_axis': 6, 'Value': 0.16666666666666666, 'Step': 1720}
{'x_axis': 7, 'Value': 0.4114583333333333, 'Step': 2175}
{'x_axis': 8, 'Value': 0.4114583333333333, 'Step': 2370}
{'x_axis': 9, 'Value': 0.4270833333333333, 'Step': 2630}
{'x_axis': 10, 'Value': 0.4270833333333333, 'Step': 2800}
{'x_axis': 11, 'Value': 0.4895833333333333, 'Step': 2998}
{'x_axis': 12, 'Value': 0.484375, 'Step': 3214}
{'x_axis': 13, 'Value': 0.5364583333333334, 'Step': 3409}
{'x_axis': 14, 'Value': 0.5364583333333334, 'Step': 3645}
{'x_axis': 15, 'Value': 0.5520833333333334, 'Step': 3799}
{'x_axis': 16, 'Value': 0.5208333333333334, 'Step': 3906}
{'x_axis': 17, 'Value': 0.5625, 'Step': 4035}
{'x_axis': 18, 'Value': 0.6145833333333334, 'Step': 4355}
{'x_axis': 19, 'Value': 0.5520833333333334, 'Step': 4536}
{'x_axis': 20, 'Value': 0.625, 'Step': 4718}
{'x_axis': 21, 'Value': 0.6510416666666666, 'Step': 4871}
{'x_axis': 22, 'Value': 0.640625, 'Step': 5049}
{'x_axis': 23, 'Value': 0.6510416666666666, 'Step': 5279}
{'x_axis': 24, 'Value': 0.6666666666666666, 'Step': 5440}
{'x_axis': 25, 'Value': 0.6354166666666666, 'Step': 5678}
{'x_axis': 26, 'Value': 0.671875, 'Step': 5943}
{'x_axis': 27, 'Value': 0.6822916666666666, 'Step': 6236}
{'x_axis': 28, 'Value': 0.6666666666666666, 'Step': 6490}
{'x_axis': 29, 'Value': 0.6510416666666666, 'Step': 6675}
{'x_axis': 30, 'Value': 0.6666666666666666, 'Step': 6996}
{'x_axis': 31, 'Value': 0.75, 'Step': 7222}
{'x_axis': 32, 'Value': 0.7083333333333334, 'Step': 7459}
{'x_axis': 33, 'Value': 0.640625, 'Step': 7741}
{'x_axis': 34, 'Value': 0.6614583333333334, 'Step': 7963}
{'x_axis': 35, 'Value': 0.6927083333333334, 'Step': 8165}
{'x_axis': 36, 'Value': 0.6927083333333334, 'Step': 8353}
{'x_axis': 37, 'Value': 0.71875, 'Step': 8498}
{'x_axis': 38, 'Value': 0.7760416666666666, 'Step': 8659}
{'x_axis': 39, 'Value': 0.7552083333333334, 'Step': 8800}
{'x_axis': 40, 'Value': 0.8125, 'Step': 9019}
{'x_axis': 41, 'Value': 0.71875, 'Step': 9235}
{'x_axis': 42, 'Value': 0.7864583333333334, 'Step': 9437}
{'x_axis': 43, 'Value': 0.796875, 'Step': 9706}
{'x_axis': 44, 'Value': 0.796875, 'Step': 9958}
{'x_axis': 45, 'Value': 0.7864583333333334, 'Step': 10169}
{'x_axis': 46, 'Value': 0.7916666666666666, 'Step': 10381}
{'x_axis': 47, 'Value': 0.7864583333333334, 'Step': 10516}
{'x_axis': 48, 'Value': 0.8229166666666666, 'Step': 10809}
{'x_axis': 49, 'Value': 0.8802083333333334, 'Step': 10961}
{'x_axis': 50, 'Value': 0.8333333333333334, 'Step': 11122}
{'x_axis': 51, 'Value': 0.8333333333333334, 'Step': 11226}
{'x_axis': 52, 'Value': 0.7708333333333334, 'Step': 11409}
{'x_axis': 53, 'Value': 0.78125, 'Step': 11611}
{'x_axis': 54, 'Value': 0.7708333333333334, 'Step': 11915}
{'x_axis': 55, 'Value': 0.8229166666666666, 'Step': 12176}
{'x_axis': 56, 'Value': 0.796875, 'Step': 12362}
{'x_axis': 57, 'Value': 0.8072916666666666, 'Step': 12585}
{'x_axis': 58, 'Value': 0.84375, 'Step': 12774}
{'x_axis': 59, 'Value': 0.78125, 'Step': 13001}
{'x_axis': 60, 'Value': 0.8541666666666666, 'Step': 13205}
{'x_axis': 61, 'Value': 0.8229166666666666, 'Step': 13455}
{'x_axis': 62, 'Value': 0.828125, 'Step': 13723}
{'x_axis': 63, 'Value': 0.78125, 'Step': 14000}
