{'Step': 145, 'x_axis': 0, 'Value': 9.981058915456137}
{'Step': 375, 'x_axis': 1, 'Value': 6.807798624038696}
{'Step': 709, 'x_axis': 2, 'Value': 4.053430040677388}
{'Step': 940, 'x_axis': 3, 'Value': 2.8988460302352905}
{'Step': 1208, 'x_axis': 4, 'Value': 2.222810665766398}
{'Step': 1434, 'x_axis': 5, 'Value': 2.013756891091665}
{'Step': 1720, 'x_axis': 6, 'Value': 1.6585596799850464}
{'Step': 2175, 'x_axis': 7, 'Value': 1.218588391939799}
{'Step': 2370, 'x_axis': 8, 'Value': 1.1064220368862152}
{'Step': 2630, 'x_axis': 9, 'Value': 1.1048972010612488}
{'Step': 2800, 'x_axis': 10, 'Value': 1.093567152818044}
{'Step': 2998, 'x_axis': 11, 'Value': 1.0132818619410198}
{'Step': 3214, 'x_axis': 12, 'Value': 0.9576817949612936}
{'Step': 3409, 'x_axis': 13, 'Value': 0.887739360332489}
{'Step': 3645, 'x_axis': 14, 'Value': 0.9716185530026754}
{'Step': 3799, 'x_axis': 15, 'Value': 0.9496739109357198}
{'Step': 3906, 'x_axis': 16, 'Value': 0.9460352460543314}
{'Step': 4035, 'x_axis': 17, 'Value': 0.9154471258322397}
{'Step': 4355, 'x_axis': 18, 'Value': 0.8257580200831095}
{'Step': 4536, 'x_axis': 19, 'Value': 0.8483549058437347}
{'Step': 4718, 'x_axis': 20, 'Value': 0.7884824275970459}
{'Step': 4871, 'x_axis': 21, 'Value': 0.7805123229821523}
{'Step': 5049, 'x_axis': 22, 'Value': 0.7658641537030538}
{'Step': 5279, 'x_axis': 23, 'Value': 0.8236234386761984}
{'Step': 5440, 'x_axis': 24, 'Value': 0.7955849369366964}
{'Step': 5678, 'x_axis': 25, 'Value': 0.8258866270383199}
{'Step': 5943, 'x_axis': 26, 'Value': 0.7916137278079987}
{'Step': 6236, 'x_axis': 27, 'Value': 0.761291096607844}
{'Step': 6490, 'x_axis': 28, 'Value': 0.8058436512947083}
{'Step': 6675, 'x_axis': 29, 'Value': 0.8172193368275961}
{'Step': 6996, 'x_axis': 30, 'Value': 0.7514875729878744}
{'Step': 7222, 'x_axis': 31, 'Value': 0.6948278446992239}
{'Step': 7459, 'x_axis': 32, 'Value': 0.7589186131954193}
{'Step': 7741, 'x_axis': 33, 'Value': 0.8741280734539032}
{'Step': 7963, 'x_axis': 34, 'Value': 0.8465439279874166}
{'Step': 8165, 'x_axis': 35, 'Value': 0.785211851199468}
{'Step': 8353, 'x_axis': 36, 'Value': 0.7802396714687347}
{'Step': 8498, 'x_axis': 37, 'Value': 0.7578296264012655}
{'Step': 8659, 'x_axis': 38, 'Value': 0.6688130994637808}
{'Step': 8800, 'x_axis': 39, 'Value': 0.7264310717582703}
{'Step': 9019, 'x_axis': 40, 'Value': 0.688929150501887}
{'Step': 9235, 'x_axis': 41, 'Value': 0.8221230705579122}
{'Step': 9437, 'x_axis': 42, 'Value': 0.724266916513443}
{'Step': 9706, 'x_axis': 43, 'Value': 0.7074375649293264}
{'Step': 9958, 'x_axis': 44, 'Value': 0.7239515880743662}
{'Step': 10169, 'x_axis': 45, 'Value': 0.8085607389609019}
{'Step': 10381, 'x_axis': 46, 'Value': 0.7447789410750071}
{'Step': 10516, 'x_axis': 47, 'Value': 0.7686319251855215}
{'Step': 10809, 'x_axis': 48, 'Value': 0.6960175335407257}
{'Step': 10961, 'x_axis': 49, 'Value': 0.6889350910981497}
{'Step': 11122, 'x_axis': 50, 'Value': 0.7560579776763916}
{'Step': 11226, 'x_axis': 51, 'Value': 0.7409547567367554}
{'Step': 11409, 'x_axis': 52, 'Value': 0.8846799929936727}
{'Step': 11611, 'x_axis': 53, 'Value': 0.8158809940020243}
{'Step': 11915, 'x_axis': 54, 'Value': 0.8554132580757141}
{'Step': 12176, 'x_axis': 55, 'Value': 0.8013816873232523}
{'Step': 12362, 'x_axis': 56, 'Value': 0.7550110816955566}
{'Step': 12585, 'x_axis': 57, 'Value': 0.844907542069753}
{'Step': 12774, 'x_axis': 58, 'Value': 0.9077332119146982}
{'Step': 13001, 'x_axis': 59, 'Value': 0.9005637963612875}
{'Step': 13205, 'x_axis': 60, 'Value': 0.7581925292809805}
{'Step': 13455, 'x_axis': 61, 'Value': 0.8026802937189738}
{'Step': 13723, 'x_axis': 62, 'Value': 0.7414484719435374}
{'Step': 14000, 'x_axis': 63, 'Value': 1.0650015076001484}
{'Step': 14240, 'x_axis': 64, 'Value': 0.7987311681111654}
{'Step': 14502, 'x_axis': 65, 'Value': 0.8813102642695109}
{'Step': 14720, 'x_axis': 66, 'Value': 0.7968103289604187}
{'Step': 14971, 'x_axis': 67, 'Value': 0.75912144780159}
{'Step': 15090, 'x_axis': 68, 'Value': 0.8908202946186066}
{'Step': 15278, 'x_axis': 69, 'Value': 1.0713753799597423}
{'Step': 15605, 'x_axis': 70, 'Value': 0.9047189056873322}
{'Step': 15825, 'x_axis': 71, 'Value': 0.7805659274260203}
{'Step': 16052, 'x_axis': 72, 'Value': 0.7902670204639435}
{'Step': 16239, 'x_axis': 73, 'Value': 0.8855668207009634}
{'Step': 16449, 'x_axis': 74, 'Value': 0.9385207692782084}
{'Step': 16690, 'x_axis': 75, 'Value': 1.0496750970681508}
{'Step': 16937, 'x_axis': 76, 'Value': 0.8031125764052073}
{'Step': 17205, 'x_axis': 77, 'Value': 0.9495873053868612}
{'Step': 17339, 'x_axis': 78, 'Value': 0.7697388927141825}
{'Step': 17541, 'x_axis': 79, 'Value': 0.827550450960795}
{'Step': 17728, 'x_axis': 80, 'Value': 0.9840833147366842}
{'Step': 18007, 'x_axis': 81, 'Value': 0.7822069327036539}
{'Step': 18194, 'x_axis': 82, 'Value': 0.958981990814209}
{'Step': 18492, 'x_axis': 83, 'Value': 0.9782156050205231}
{'Step': 18697, 'x_axis': 84, 'Value': 0.9260338147481283}
{'Step': 18914, 'x_axis': 85, 'Value': 1.0610619088013966}
{'Step': 19106, 'x_axis': 86, 'Value': 0.9933202068010966}
{'Step': 19327, 'x_axis': 87, 'Value': 0.9283542732397715}
{'Step': 19581, 'x_axis': 88, 'Value': 0.9413680533568064}
{'Step': 19821, 'x_axis': 89, 'Value': 0.8428168892860413}
{'Step': 20079, 'x_axis': 90, 'Value': 0.87152831753095}
{'Step': 20246, 'x_axis': 91, 'Value': 1.070901980002721}
{'Step': 20623, 'x_axis': 92, 'Value': 0.9233946601549784}
{'Step': 20986, 'x_axis': 93, 'Value': 1.0105471809705098}
{'Step': 21162, 'x_axis': 94, 'Value': 0.9089370469252268}
{'Step': 21376, 'x_axis': 95, 'Value': 0.9923428893089294}
{'Step': 21590, 'x_axis': 96, 'Value': 1.0106901327768962}
{'Step': 21821, 'x_axis': 97, 'Value': 1.0213781197865803}
{'Step': 22073, 'x_axis': 98, 'Value': 1.032210757335027}
{'Step': 22280, 'x_axis': 99, 'Value': 0.9820107916990916}
{'Step': 22510, 'x_axis': 100, 'Value': 1.0529715716838837}
{'Step': 22705, 'x_axis': 101, 'Value': 0.9717134237289429}
{'Step': 22889, 'x_axis': 102, 'Value': 1.1210546890894573}
{'Step': 23105, 'x_axis': 103, 'Value': 1.0915547509988148}
{'Step': 23346, 'x_axis': 104, 'Value': 1.0379714866479237}
{'Step': 23582, 'x_axis': 105, 'Value': 1.211334268252055}
